City,Covid Cases
Tuensang,2107.8662062169155
Lakshmeshwar,2307.325414817421
Zira,2665.041151893079
Yawal,2290.1005379290996
Thana Bhawan,2367.697850750863
Ramdurg,2583.9325450842084
Pulgaon,2295.288377985752
Sadasivpet,2569.0112432790133
Nargund,2157.5524451321226
Neem-Ka-Thana,2137.527036765777
Memari,2319.0741658837387
Nilanga,2104.9012998631347
Naharlagun,2108.263726242134
Pakaur,2610.569501968333
Wai,1891.6236860485028
Tarikere,2717.280164394809
Malavalli,2365.991872501265
Raisen,2347.1702916776594
Lahar,2010.4704035656625
Uravakonda,2492.0587925643945
Savanur,2474.1240509826584
Sirohi,2358.0736555001654
Udhampur,2614.3037144248556
Umarga,2636.99411291275
Pratapgarh,2109.379783197175
Lingsugur,2590.376036153996
Usilampatti,2658.3195159660345
Palia Kalan,2176.0199931690745
Wokha,1934.8621779746638
Rajpipla,2484.6582921551867
Vijayapura,2139.953464280956
Rawatbhata,2300.7603195880847
Sangaria,2454.8836564017843
Paithan,2118.025933157058
Rahuri,2094.1913479207938
Patti,2501.552210807753
Zaidpur,2464.9622589233245
Lalsot,2178.918282805134
Maihar,1637.006209644526
Degana,2037.3284617560616
Vedaranyam,2209.7845008472796
Nawapur,2039.1384817286535
Solan,2727.4287982245173
Vapi,2250.8662506674004
Almora,2542.3735964949533
Sanawad,1623.2348541176261
Warisaliganj,2270.0137627026234
Revelganj,2300.4174508526044
Sabalgarh,2296.07387096653
Tuljapur,2279.56681786141
Simdega,2261.032222972792
Musabani,2694.899012327931
Kodungallur,2957.7653730592297
Phulabani,2668.801609627835
Umreth,2140.941735572066
Narsipatnam,2157.9611874977454
Nautanwa,2191.604549695824
Rajgir,2261.5533435537413
Yellandu,2251.498170005176
Sathyamangalam,2365.665643961653
Pilibanga,2119.1017771629354
Morshi,2618.7081587673833
Pehowa,1855.7527011833995
Sonepur,2264.875569202555
Pappinisseri,2830.626358514912
Zamania,2185.7172976613833
Mihijam,2561.934455712373
Purna,2119.968353901863
"Shikarpur, Bulandshahr",2373.369389597033
Umaria,1919.6594399455034
Porsa,2465.474918588135
Naugawan Sadat,2331.1567879255927
Faizabad,2098.5391106241673
Manuguru,2829.4788302879456
Ellenabad,2280.5373644711726
Udaipur,2533.119186506604
Pipar City,2328.310653295599
Nanjikottai,2294.8307108335243
Taranagar,2152.27255235493
Yerraguntla,2457.165373771756
Satana,2195.8494783888304
Sherghati,2368.9483178676974
Sankeshwara,2571.079691582856
Madikeri,2397.7472721817508
Thuraiyur,2201.907943933003
Sanand,1972.341171173569
Rajula,2126.3929686459296
Kyathampalle,2740.1719275132014
"Shahabad, Rampur",2221.755437917303
Tilda Newra,2826.035764247644
Narsinghgarh,2535.9215874156303
Chittur-Thathamangalam,2816.9077525447597
Malaj Khand,2176.1361100210793
Sarangpur,2336.6113513615865
Robertsganj,2454.4867155307124
Sirkali,2486.116991990002
Radhanpur,2410.2199055401725
Tiruchendur,2510.7327360617555
Utraula,2255.5884962161012
Patratu,2251.195405380232
"Vijainagar, Ajmer",2307.9890783885303
Periyasemur,2329.408583031177
Pathri,2267.9786474663033
Sadabad,2404.220408928914
Talikota,2628.5868121232957
Sinnar,2064.1367305904655
Mungeli,2185.3864860695357
Sedam,2144.716085651386
Shikaripur,2591.819435801902
Sumerpur,2026.532045448796
Sattur,2163.504832991633
Sugauli,2628.527296240191
Lumding,2136.309645373903
Vandavasi,2544.01669892919
Titlagarh,2515.8755015354286
Uchgaon,2607.7802888370757
Mokokchung,2615.671230309045
Paschim Punropara,2342.1516415394726
Sagwara,2246.247405148716
Ramganj Mandi,2319.7672498286197
Tarakeswar,2356.913421922914
Mahalingapura,2467.923616164679
Dharmanagar,2337.8335941862415
Mahemdabad,2115.6271402537586
Manendragarh,2553.335525143087
Banaganipalli,2636.7824016805203
Uran,3042.013407041681
Tharamangalam,2247.3802801627235
Tirukkoyilur,2561.732847292786
Pen,2444.916317202168
Mussoorie,2002.3291404110764
Makhdumpur,2647.7310252868165
Maner Sharif,2549.609366030103
Oddanchatram,2574.8116044796125
Palladam,2163.54720640756
Mundi,2649.1338983067026
Sitarganj,2626.6852825358656
Nabarangapur,2367.258816936663
Mudalagi,2523.2449355766394
Samalkha,2480.004358528148
Nepanagar,1748.4089324765528
Karjat,2273.1690757969113
Ranavav,2446.9853643627616
Pedana,2427.575126808375
Lakheri,2512.2751292239113
Pasan,2345.054616473632
Puttur,2282.4623411183734
Vadakkuvalliyur,2133.198555603861
Tirukalukundram,2354.3253774763216
Muvattupuzha,3137.0920020191943
Rasra,2182.702197932237
Udaipurwati,2403.817761500814
Manwath,2391.4067913428994
Adoor,2886.6293631491485
Uthamapalayam,2376.02808132271
Partur,2007.5975592161826
Nahan,2385.366481409976
Rajesultanpur,2379.7636741572123
Ladwa,1923.8354211465462
Kotdwar,1997.3884968322666
Mankachar,2153.57105651244
Nongstoin,2454.7392367610837
Nedumbassery,2901.127999302072
Losal,2215.8964505112212
Ramngarh,2553.667697676943
Mavelikkara,2811.497902204457
Rawatsar,1965.7193387737798
Rajakhera,2011.0055269642949
Lar,2463.5280981140054
Lal Gopalganj Nindaura,2161.400004189295
Muddebihal,2274.7453900843293
Sirsaganj,2065.4361496986476
Shahpura,2185.8243110836465
Surandai,2648.914060060138
Sangole,2408.2282596121977
Pavagada,2515.9325436784475
Tharad,2196.592917778539
Mansa,1949.3144577412868
Umargam,2469.8038439116845
Mavoor,2872.7912872209176
Nalbari,2578.5230373714044
Talaja,2162.263003587763
Malur,2218.461224700785
Mangrulpir,1999.4726768094336
Soro,2655.776233634423
Shahpura,1983.886244581939
Vadnagar,1992.3105805897303
Chamba,2105.8522190670915
Raisinghnagar,2055.9907418369057
Sindhagi,2739.9518992766434
Sanduru,2815.07117399526
Sohna,2072.3791071959968
Manavadar,1871.4890452362183
Pihani,2296.8786701076583
Safidon,1968.3615624000422
Risod,2400.1065443558227
Rosera,2595.7439782500833
Sankari,2183.8734174930987
Malpura,2174.5828168090643
Sonamukhi,2629.170530821791
Varandarappilly,3046.08299995144
"Shamsabad, Agra",2552.838425446253
Nokha,2532.3278422071253
Pandua,2451.8506068771526
Mainaguri,2172.886585901275
Afzalpur,2474.259663730858
Bagepalli,2540.290498800272
Shirur,2423.4433935157476
Salaya,1989.5465622606812
Shenkottai,2326.9144742315857
Pratapgarh,2517.312033277858
Nagarkurnool,2415.1712470139055
Savner,2529.2349321635643
Sasvad,1944.3803098092353
Rudrapur,2264.61975182564
Soron,2369.7249896308404
Sholingur,2196.205118880788
Pandharkaoda,2860.086432103491
Perumbavoor,2753.5131133898653
Maddur,2567.8947626360987
Nadbai,2208.703716577712
Talode,2057.063425279308
Shrigonda,2115.209893063495
Madhugiri,2644.533909526712
Tekkalakote,2699.7981211971032
Seoni-Malwa,2184.707769386968
Shirdi,2528.862267010298
Suar,2267.490847113558
Terdal,2316.4398209049077
Raver,2267.252220587908
Tirupathur,2627.2764587110705
Taraori,2009.563712340952
Mukhed,2057.731395230438
Manachanallur,2486.7105004022633
Jaynagar Majilpur,2583.221771419321
Rehli,2376.0212967988314
Sanchore,2514.6553362424015
Rajura,2027.516063988506
Piro,2733.5973202877703
Mudabidri,2419.6070092286986
Vadgaon Kasba,2079.5178312815938
Nagar,1947.6545073493412
Vijapur,2070.6160753716217
Viswanatham,2338.194367897283
Bajpur,2178.6237762702244
Polur,2123.464462017522
Panagudi,2418.187753617097
Manawar,1863.9966146821944
Pauri,2342.0396698873265
Samdhan,2790.5666540363386
